N,question,answer,relevance
0,как дела?,там хорошо,0
1,"вы кефир пачему не кушаете, не любите?",я ряженку лучше люблю.,1
2,"если в расходную накладную забить дури и выкурить, то получится приходный документ?",особенно когда придет комиссия проверять документацию,1
3,покажись в шапке,ды щаз приветик,0
4,давай не будем об этом,давай поговорим о чем-нибудь другом,1
5,препарат для лечения сильно понижает давление. что порекомендуете?,чтоб не сильно? или что? препарат принимай и кофе пей,1
6,"мужчина, если ты занюхиваешь волосами соседки, то какой аромат предпочитаешь?",предпочитаю соседкиными пирогами закусывать. -,1
7,можете ли вы с ходу отличить японских фигуристов от китайских без представления?,японцы в целом куда симпатичнее китайцев. но конечно же бывают исключения во всем,1
8,как стать наемником?,"свяжись с нанимателями, заключи договор и будь наемником.",1
9,"слышала, что есть крем от шрамов. кто знает, скажите пожалуйста название. и поможет ли он от шрамов которым лет. дцать?","контроктубекс и кажется медерма? фигня полная даже свежие шрамы не убирают, деньги на ветер.",1
10,"я тоже, чуть бессонница бывает, зато утром сплю до  а потом ленюсь весь день","ну тебе по  другому сейчас и не надо. особенно в последние месяцы, я как вспомню",0
11,"подскажите сайт игр. где можно скачать хорошие игры и без всяких файлообмеников, чтоб скачивать прямо с сайта",да практически ниоткуда. есть много перепланировок на сайте журнала идеи вашего дома.,0
12,что делать если у котенка не отпадает пупок?,каждый человек по своему целитель. отличаемся между собой только багажом знаний и опытом.,0
13,"ребята подскажите можно ли с современной китайской альфы, дельты и прочих мопедов поставить габариты на мотоцикл минск?",думаю реально. только в минске свои габариты должны быть родные.,1
14,как быть если полнота не позволяет быть легкой и стремительной?,классные они у каждого свои. вы бы хоть с жанром определились?,0
15,"да , ладно? отлично",годы тебя не щадят,1
16,"мужики, если вы будете абсолютно точно знать, что женщины любят когда их обманывают и насильно заставляют?",ну насильно мил не будешь если это не мое я подстраиваться не буду,1
17,почему украинцы иногда называют русских ордынцами?,"потому что европеец, истинный ариец имеет право",1
18,и у тебя месячные?,ты точно хочешь это знать?,0
19,нарисуем что то.,читала правила то,1
20,villmont тебя курицы заклевали?,вы че тут стдрочите?,0
21,а что вы делаете во время оргазма?,от наличия самого организма в природе.,0
22,"что делать, если мол. человек соврал про свой возраст?",вызвать бессонницу и у нее,0
23,"приятного вам вечера, котятки",и тебе дорогая и я пошла,0
24,"как вы считаете, дружиский секс это нормально??","оно и будет уничтожено, вопрос времени и метода",0
25,"если у мужчины уже не вставляется писька, что он делает?","приматывает карандаш или идет в тдв и рассказывает, как он умеет три раза не вынимая тезочка",1
26,чем вы запиваете и закусываете водку? чем водка лучше виски?,блинами с компотом. пью ее исключительно на поминках.,1
27,как можно любить идеального человека? за что?,"сказать одно надо показать, лучше скачай как это делается и научишься",0
28,"тебе бы понравилось, если парень пригласил тебя в дельфинарий, чтоб поплавать с дельфинами?","люблю дельфинов, с ними классно и прикольно пошла бы с удовольствием",1
29,"как доказать, что ты умный?","ну если он через неделю знакомства тебе предлагает стать его женой, то это судьба.",0
30,я родился в москве,как ты без макдака,0
31,"ой, это где такое?",а уже нет его я его обрезала,1
32,foxysamhain вот тут голосищепрямух.,"да, знакомый трек",1
33,ф прятки с кем поиграть? кушать охота,"лучшие прятки в зоопарке сльвом, ты прячешся он находит и обед для одного готов.",1
34,любовь с первого взгляда-вам верится в такое?,"а по другому это уже не любовь, а рассматривание и оценивание человека со всех сторон.",1
35,ты ничего не понимаешь,я за здоровый образ жизни,0
36,"я болен тобой. что это значит, как вы думаете?","едешь такая в автобусе, и тут тебя спрашивают вы выходите? а ты молчишь. потому что тихая",0
37,кто такие язычники и кто другие?,"crt мониторы с электронно-лучевой пушкой кинескопные, большиеlcd жидкокристаллические плоские",0
38,о чем можно разговаривать с. обьевшимся мужчиной?,поговорить о многом можно. а вот делать что то пока нельзя.,1
39,украинские каналы фотошоп разгоняют вовсю,хоть чето,1
40,у вас видик остался или выкинули уже на помойку?,а у нас в россии ее пьют без вопросов.,0
41,прошел  с двух ног как только вышел на мсиай титане,я вижу тебя воин да не высохнет кровь на твоем мече.,0
42,что для вас наивысшее счастье?,"когда я вижу счастье и благополучие своих близких, родных и друзей.",1
43,зачем тебе  доллар,мне нужен только один,1
44,можно считать онанизм за измену?,"можно и за измену, если дрочишь в разные руки.",1
45,ты можешь задрать свою юбку,я всегда рядом,0
46,шма рыбалка," рыбалка очень жаль, ничего не поймали в этот раз.энергии осталось:",0
47,длинные волосы это красиво?,на любителя. я предпочитаю эти напитки отдельно.,0
48,в чем вам удобнее в юбке или брюках?,что то уже и не то и не другое не нравится,0
49,давай поговорим обо мне,о чем будет разговор,0
50,какие няшные вещи можно подарить ребенку?,комп детский. будет рад.,1
51,чем отличается голый человек от обнаженного?,есть порнография. есть эротика. много учиться надо. и происхождение иметь,1
52,вы верите в эффективность гомеопатии? как к ней относитесь?,"плацебо, оно и есть плацебо.",1
53,это наследственный признак женскую хитрость и гибкость? как ее развить?,по наследству это точно не передаетсяразвить можно с помощью асоциаций,1
54,а пора бы спать,классный мальчуган,0
55,и я маленький гномик см,"ага, помню я на целую голову выше",1
56,а что нужно делать на нервной почве?,"для начала невеста, которая в последствии станет женой",0
57,на чем задержится ваш взгляд если вы посмотрите на собеседника?,"если ты любишь, на самотек все равно не получится. сердце не отпустит.",0
58,существует ли таблица по возрасту как часто надо заниматься сексом? чтобы не истощать мужской организм?,мне кажется таблицы нет. может просто рекомендации.,1
59,это ад. что для вас это состояние?,"для меня завтра. это то, до чего еще нужно дожить.",0
60,"что лучше беговая дорожка, эллиптический тренажер или велотренажер? или греблевый тренажер? для любви",гребной для фигуры просто класс будет.,1
61,а если виски не пью,там двое на вине,1
62,сердючка вражеская. нескрепная,соседи вызовут на меня ментов,0
63,в чем прикол тогда,"прикол, ничего не помнитьь",0
64,как можно бросить курить?,спортивную для тебя можно типо мешок или как дорожная сумка на плечо но поменьше.,0
65,каких людей нужно забывать мгновенно?,"у таких как я высокомерных, не терпящих возражений нарциссов.",0
66,"что мы с вами будем делать, если попадем в окружение?",никогда и не смотрел на юпупе. иногда обзоры или стримы. но уж как нибудь обойдусь.,0
67,"да просто, познакомиться","пообщаться можно, да",1
68,главное другу случайно не подари,главное другу случайно не подари,0
69,"как тебя наказать, если изменишь?","когда эмоции впереди разума, да, такие темпераментные сделают потом подумают",0
70,женя,а меня павел,1
71,"а вам понравился аватар? если да, то чем?","улыбки и хорошее настроение, причем в неограниченных количествах. улыбаюсь.",0
72,что делает вас для других людей опасным человеком?,секс после духовного прелюдия.,0
73,как на территории одного авто устроить праздник?,праздник можно устроить где угодно. если есть с кем,1
74,а кто первой,я так не думаю,0
75,как бороться со стрессом?,найти бабу и заняться спортом что бы появилась увереность,0
76,блять. ,блядьпиши правильно!,1
77,нарисуй кроссы,хахахх что за?,0
78,"о чем умалчивает, детектор лжи?",слушать тоже надо уметь,0
79,на что вы играете дома в карты? или шахматы?,"отчеты, дебит, кредит. я бухгалтер.",0
80,как это относиться к жизни по философски?,"решить жизненные проблемы, мешающие организму отдыхать.",0
81,ктото выводит денежный поток,"ну значит кому то бабло нужно было помыть, вот и делают",1
82,. благодаря чему человек становится сильнее?,никогда совершенная любовь это самое светлое чувство на которое способен человек умничаю,0
83,"почему любовь болезнь, а никто не лечится?",появится обязательно. шанс. и не один.,0
84,"подскажите молитву, обряд, чтоб не пересекаться, не видеть нежелательного человека никогда",значит надо сменить а. седло б. велик. в жопу смотря что тебе проще,0
85,как правильно бегать за женщинами задрав штаны или приспустив? или как?,да уж сиди в штанах. коли толку нету.,1
86,ну не нравиться не ешь,мне тоже п на тебя,0
87,потому что не даешь ему отдохнуть,"ну два раза в сутки, нихуя ему не станет, переварит",1
88,через какое время после бракосочетания женщина превращается в химеру?,когда семья превратится в брак,1
89,"как вы думаете, в каких случаях необходимо задавать вопросы себе?",скучно же поэтому и слушаю яс музыкой веселее,0
90,что для вас значит быть счастливым?,"развлечение, общение, интрига",0
91,"ребят, кто бы хотел со мной поболтать по агенту? скучно так, кошмар",что совсем скучно и по телевизору ничего интересного может на улице прогуляться знакомых встретить,1
92,хай как ты?,все супер! у самой как?,1
93,по каким причинам нечистая сила может вселиться в человека?,"если у мужчины эта слабость то ни к чему хорошему, если у женщины-то это ее изюменка",0
94,"как можно завязать повязку из наруто? есть те кто ходят в ней по городу, на вас не смотрят косо?","если это какие-нибудь бабульки, то возможно и будут смотреть косо",1
95,https:youtu.bekdlxaqgaya,"та все, права отдавай",0
96,"вам нравится, что вами. не больны?",обожаю готовить для любимого мужчины. для себя нет.,0
97,подскажите где в москве можно сделать хорошее портфолио ребенку? и сколько стоит?,"ну в столице студий много, в инете можно посмотреть и портфолио студий и расценки.",1
98,а ты чего еще не спишь? calixxxto,"не устала надо было побегать что ли. энергию выбросить вчера на лодке гребла, потом спала хорошо. а сегодня не спится",1
99,сисьадмин,главное чтоб в свитере,0
100,если мужчина расстался с девушкой зачем продолжаются звонки,"если вам больно, то блокируйте его сами! и советую не держаться за ниточку этих сообщений и не придумывать себе того чего нет! у мужчин все гораздо проще!",1
101,"то, что у вас сейчас в левой руке как называется?","счастье это когда есть кого любить, что делать и на что надеяться.",0
102,саранча мигрирует на большие расстояния и усы у нее толще и короче,так второе отличие усы,1
103,пустят ли на борт самолета со старинными монетами?,"вывозишь антиквариат, контрабандистка?",1
104,"подскажите, какой прогой можно отключать питание у определенного usb порта?",нет такой. можно отключить только все сразу,1
105,что значит подруга решила попробовать поцелуй со своим другом,"когда я училась в школе, то в страшимых классах мы так и развлекались с друзьями- подругами. ну что поделаешь: возраст такой, гормоны играют, любопытно и интересно.",1
106,"девушки, почему вы стервянеете когда к вам относятся как к людям?","ой, не надо к нам, как к людям. лучше, как к женщинам.",1
107,а на сколько реально вы хотите завести любовницу ка? всем вопрос. или все только довольствуются надеждой?,"уж, если заводить, то надолго",1
108,в каком возрасте от вас ушла ваша молодость?,"молодость продолжается я люблю и значит, я живу.",1
109,может ли нервный стресс усугубить пневмонию? или это вообще никак не связано?,стресс любое заболевание может усугубить,1
110,"у тебя ж тоже выборы были. единая россия, ну как всегда. а ты за кого голосовал?",это заранее понятно быломоя гражданская позиция кандидатов накуй,1
111,игра уличных музыкантов это приобщение людей к искусству или скрытая форма попрошайничества? или что еще?,многие так дерьмово играют. что хочется заказать им исполнить минуту тишины,1
112,что такое бу диски с играми?,"устройство, чаще электромеханическое, предназназначенное для осуществления контакта",0
113,можно ли доверить личное путеводителю?,древние греки ни кому не доверяли. вот и появилось все свое ношу с собой.,1
114,"на сколько близко. подпустишь к себе человека, которому ты интересен?","на столько, на сколько взаимный интерес",1
115,"что такое псориаз, как он проявляется. как лечить",обратитесь к дерматологу болезнь коварная,1
116,"посоветуйте какое-нибудь блюдо, чтобы было соленым и нежирным?","корейская морковка, майонез, курица и репчатый лук. вкусняка",1
117,"аллергия на тополиный пух что делать? этот пух уже достал. дышать тяжело, нос забит, слабость","антигистамины внутрь ежедневно, очки на глаза, мокрую марлю на окна, мокрый платочек у носа.",1
118,ооо дувуй,"язык необычный очень а еще мне рассказывали, что у вас очень красиво",0
119,"ну эт уже не важно у меня есть подруга веган, есть фемка, вот лесби нет еще","я феминистка и би, сойдет?",0
120,а что такое любовь?,"вторжение другой страны, с целью захвата территории",0
121,а ты чего вздыхаешь так тяжело?,прост,1
122,есть ли жизнь после брака?,конечно. человек может быть умный в науке и дурак в жизни. а друг наоборот.,0
123,нажми чтобы найти песню,polly,0
124,ну его молодняк слушает,а должны питухи на зоне,1
125,что ты хранишь очень бережно?,внука или внучку,0
126,творец хорошего настроения вы сами или вам помогают?,скорее я помогаю. но иногда и помощь друзей требуется.,1
127,ахахахахаах,а потом полезешь куничку делать и вах,1
128,чем отличаются марксизм и марксизм-ленинизм?,то что шкаф не может бошку в землю от страха воткнуть,0
129,зеленый лысый пацан разве женщина? ,это же бэби йода :,0
130,"я просто прокачивал клан, а потом альянс на  человек в сложной геополитической обстановке лол",у тебя ктонибудь из знакомых остался с линейки?,0
131,propose,нельзя заключить брак с ботом :,0
132,какими танцами лутчше заниматься?,переслушивать свою огромную коллекцию музыки и нянчить внуков.,0
133,какой стиль музыки вы предпочитаете объясните почему и какая по вашему музыка будующего?,"рок и метал. будущее покажет, но рок уже вне времени. у него всегда есть будущее.",1
134,а живу я в городе. а вы,мои замечательно. чем занимаетесь,0
135,"вот если очень, очень хочется, то все веть можно да? и диатеза можно не боятся?",сижу в ответах. совершая нехрен.,0
136,"умеренный лейкоареоз, что это?","наверное не лейкоареоз, а лекоцитоз? тогда, это реакция организма на воспаление.",1
137,как бы уснуть.,под замечательные песни,1
138,какими народными средствами можно избавиться от грибка на ступнях?,хозяйственным мылом намазать и не смывать,1
139,что в вашем понимании жизнь?,"свобода и уверенность в себе, радость каждому дню, любовь и уважение друзей.",1
140,у людей всегда есть основания своей требовательности?,нет не всегда. у многих это просто бзик и дурость.,1
141,"вы радуетесь тому, чего у вас нет?",от таких красивых девушек как ты,0
142,спать хочу,поспи на лекции,1
143,как часто надо менять стартеры к уф лампам?,как только сгорят так прямо сразу.,1
144,"как правильно разбавлять спирт? -воду в спирт, или наоборот? чтоб градус не ушел?","спирт пить только чистый и, запивать.",1
145,ты веришь в хромотерапиюлечение светом и цветом?,"когда врачи разводят руками и говорят, что вылечить не могут, то поверишь во все что угодно.",1
146,какой чай вы любите?,"а достичь невозможно. взаимность или есть, или ее нет.",0
147,как быть когда видишь что ты неприятен человеку,"если речь идет не о близких, которые относятся к нам бескорыстно и делают все для нашего блага, то нужно помнить, что все люди в той или иной степени эгоистичны и их поведение продиктовано желанием поиметь какую - то выгоду для себя не обязательно материальную, это может быть и моральное удовлетворение от совершения доброго поступка. в этом нет ничего ужасного, как говорится се ля ви.",0
148,"мне тоже, я легла часов в пять утра",или почитать,0
149,почему бог не лечит панические атаки?,"я рожден русским. в основном выдающиеся музыканты, по их же мнению, из выдающейся нации.",0
150,мировоззрение мужа зависит от жены?,"если она его любит она делит с ним все и горе, и радость и мировоззрение.",1
151,какое блюдо с шиитаке самое вкусное из китайской кухни?,мне нравится цыпленок с побегами бамбука и шиитаке в устричном соусе.,1
152,как стать самым счастливым?,лучше купить трикотажную майку.,0
153,"а чего у вас больше, желаний или возможностей?","люблю кофе с молоком, но больше чай крепкий, свежезаваренный с сахаром",0
154,вы бы хотели жить в ссср?,жила я там. стабильность точно была. но вот остальное возвращать никак не хотелось бы,1
155,как называется программа в которой наводишь на текст камерой и она его переводит?,это только проект такой программы,1
156,прочитала мастер и маргариту какие у вас версии о чем книга? что хотел сказать автор?,в общем автобиографическая книга. правда написана по заказу сталина он там воланд,1
157,"вот вот,.но! многих это пугает такие походу и спят в плащах",сколько тебе лет?,0
158,что такое салидарность?,что то связанное с салом. а солидарность-это сплоченность идей и людей.,1
159,с чего начать?,"с конца попробуй, может доберешься до начала",1
160,maxflexkakoito кстати роцк,я послушал.,0
161,как вы думаете ссср был тюрьмой для народов? или нет? или тюрьма для народов это западные калонии?,ссср был территорией дружбы народов. а вот насчет колоний это правильно сказано.,1
162,можно ли сделать поддельную карту прививок в другом городе?,только не забудьте обязательно заземлить машину. заземленная батарея то рядом.,0
163,а как вы относитесь к цыганам?,"сначала вылечить дисбактериоз, пить эхинацею, ходить в бассейн с сауной, закаляться",0
164,прибухнул бы и норм,он не курит.,1
165,как достичь совершенства?,стать геем невозможно если тебе нравятся парни встает на парней ты гей,0
166,"вы себя считаете, каким человеком?","нормальная змея змей кусается только тогда, когда ее раздражают.",0
167,куда вы бы побежали ка бы на вас бомбы повалились?,"если уже повалились, то надо упасть на пол, ближе к несущим стенам и ждать.",1
168,до каких пор женщины будут носить мини-юбки?,"до тех пор, пока мужчины не станут оценивать женщину только по ее ножкам.",1
169,что можно сделать с мороженой мексиканской смесью? оч надо?,отварить и добавить к гарниру или мясу,1
170,что первичнее мысль или материя?,"материя, ведь мысль метериальна.",1
171,тож ща пойду,хош подстричься?,1
172,"если сначала учится играть на обыкновенной гитаре, то я потом смогу самостоятельно перейти на электрическую или нет?","сможешь, там надо уметь играть медиатором",1
173,у меня на комаров аллергия и все,и у меня,0
174,а почему мужчины жадные такие? а щедрые бывают? в красной книге?,эгоисты любить не умеют потому-то они и жадные,1
175,а почему вы молчите о своих грехах?,богу исповедуюсь регулярно.,1
176,а поточнее,а кто его знает,0
177,могут ли маги иметь влажные ладони?,"могут, потому что ты личность, а личностей оскорблять нельзя",0
178,чет походу тут одни школьники собрались. скока мона про школу?,"ну так уч. год начался, в нашем полку пополнение. теперь они здесь школьную прграмму изучают.",1
179,"с вертушечки, ткскзт",видос после бана скинешь,1
180,а ты не долго ломался,"поверь мне такое пиздец редко бывает, те повезло",0
181,можно ли обменять телефон?,"угу, ларечки есть обмен старого бу на новый. или бу на другой бу",1
182,ну вот буквально нахуй послала меня,не обращай внимание,1
183,только контора военкомата в аду,оставь надежду всяк сюда входящий,0
184,да нет же,о чем тебе нравится говорить?,0
