,sentence,neu_list,pos_list,neg_list
0,там хорошо,0.0,0.9362950325012207,0.0
1,я ряженку лучше люблю,0.0,0.9241518378257751,0.0
2,особенно когда придет комиссия проверять документацию,0.9688661694526672,0.0,0.04337579756975174
3,ды щаз приветик,0.0,0.0,0.0
4,давай поговорим о чем-нибудь другом,0.9770326614379883,0.0,0.0
5,чтоб не сильно или что препарат принимай и кофе пей,0.6442351341247559,0.0,0.0
6,предпочитаю соседкиными пирогами закусывать -,0.59267657995224,0.0,0.0
7,японцы в целом куда симпатичнее китайцев но конечно же бывают исключения во всем,0.4688006341457367,0.0,0.1097157895565033
8,свяжись с нанимателями заключи договор и будь наемником,0.8354935646057129,0.0,0.0
9,контроктубекс и кажется медерма фигня полная даже свежие шрамы не убирают деньги на ветер,0.5621865391731262,0.0,0.23371636867523193
10,ну тебе по  другому сейчас и не надо особенно в последние месяцы я как вспомню,0.6654205918312073,0.0,0.16886694729328156
11,да практически ниоткуда есть много перепланировок на сайте журнала идеи вашего дома,0.9783946871757507,0.0,0.031153826043009758
12,каждый человек по своему целитель отличаемся между собой только багажом знаний и опытом,0.5312193632125854,0.0,0.0
13,думаю реально только в минске свои габариты должны быть родные,0.7606606483459473,0.0,0.10088862478733063
14,классные они у каждого свои вы бы хоть с жанром определились,0.3557848632335663,0.21734751760959625,0.0
15,годы тебя не щадят,0.14034625887870789,0.0,0.3923468291759491
16,ну насильно мил не будешь если это не мое я подстраиваться не буду,0.0,0.0,0.5312193632125854
17,потому что европеец истинный ариец имеет право,0.0,0.0,0.6926519870758057
18,ты точно хочешь это знать,0.9987257122993469,0.0,0.0
19,читала правила то,0.4378334879875183,0.0,0.0
20,вы че тут стдрочите,0.9763205647468567,0.0,0.11280541121959686
21,от наличия самого организма в природе,0.91965252161026,0.0,0.05835584178566933
22,вызвать бессонницу и у нее,0.9783946871757507,0.0,0.1968362182378769
23,и тебе дорогая и я пошла,0.0,0.0,0.13297423720359802
24,оно и будет уничтожено вопрос времени и метода,0.9284188151359558,0.0,0.07586817443370819
25,приматывает карандаш или идет в тдв и рассказывает как он умеет три раза не вынимая тезочка,0.6859594583511353,0.0,0.23371636867523193
26,блинами с компотом пью ее исключительно на поминках,0.8267217874526978,0.13297423720359802,0.0
27,сказать одно надо показать лучше скачай как это делается и научишься,0.6370407938957214,0.1778208613395691,0.0
28,люблю дельфинов с ними классно и прикольно пошла бы с удовольствием,0.0,0.9973783493041992,0.0
29,ну если он через неделю знакомства тебе предлагает стать его женой то это судьба,0.6992644667625427,0.0,0.0
30,как ты без макдака,0.6442351341247559,0.0,0.0
31,а уже нет его я его обрезала,0.0,0.0,0.8031837940216064
32,да знакомый трек,0.8962613940238953,0.13297423720359802,0.0
33,лучшие прятки в зоопарке сльвом ты прячешся он находит и обед для одного готов,0.0,0.3007555902004242,0.1732981950044632
34,а по другому это уже не любовь а рассматривание и оценивание человека со всех сторон,0.754925012588501,0.0,0.1824355274438858
35,я за здоровый образ жизни,0.6224693655967712,0.0,0.0
36,едешь такая в автобусе и тут тебя спрашивают вы выходите а ты молчишь потому что тихая,0.0,0.0,0.33459946513175964
37,crt мониторы с электронно-лучевой пушкой кинескопные большиеlcd жидкокристаллические плоские,0.8962613940238953,0.0,0.4225146472454071
38,поговорить о многом можно а вот делать что то пока нельзя,0.8175845146179199,0.0,0.20182321965694427
39,хоть чето,0.9362950325012207,0.03733688220381737,0.0
40,а у нас в россии ее пьют без вопросов,0.9924327731132507,0.0,0.23371636867523193
41,я вижу тебя воин да не высохнет кровь на твоем мече,0.538993239402771,0.0,0.0
42,когда я вижу счастье и благополучие своих близких родных и друзей,0.0,0.4532718360424042,0.0
43,мне нужен только один,0.9433575868606567,0.0,0.0980893224477768
