,sentence,neu_list,pos_list,neg_list
0,как дела,0.5775054097175598,0.0,0.0
1,вы кефир пачему не кушаете не любите,0.5156299471855164,0.0,0.21207880973815918
2,если в расходную накладную забить дури и выкурить то получится приходный документ,0.8903042674064636,0.0,0.19194278120994568
3,покажись в шапке,0.9969346523284912,0.0,0.0
4,давай не будем об этом,0.9908843636512756,0.0,0.014967083930969238
5,препарат для лечения сильно понижает давление что порекомендуете,0.287777841091156,0.3923468291759491,0.0
6,мужчина если ты занюхиваешь волосами соседки то какой аромат предпочитаешь,0.6723417043685913,0.0,0.0
7,можете ли вы с ходу отличить японских фигуристов от китайских без представления,0.585111141204834,0.0,0.1824355274438858
8,как стать наемником,0.8962613940238953,0.0,0.03733688220381737
9,слышала что есть крем от шрамов кто знает скажите пожалуйста название и поможет ли он от шрамов которым лет дцать,0.9263137578964233,0.0,0.04604391008615494
10,я тоже чуть бессонница бывает зато утром сплю до  а потом ленюсь весь день,0.0,0.46102678775787354,0.0
11,подскажите сайт игр где можно скачать хорошие игры и без всяких файлообмеников чтоб скачивать прямо с сайта,0.9740526676177979,0.0,0.0
12,что делать если у котенка не отпадает пупок,0.7371681928634644,0.0,0.0
13,ребята подскажите можно ли с современной китайской альфы дельты и прочих мопедов поставить габариты на мотоцикл минск,0.8840492963790894,0.0,0.0
14,как быть если полнота не позволяет быть легкой и стремительной,0.8175845146179199,0.0,0.12253321707248688
15,да  ладно отлично,0.0,0.9808859825134277,0.010662510991096497
16,мужики если вы будете абсолютно точно знать что женщины любят когда их обманывают и насильно заставляют,0.4225146472454071,0.0,0.2509227991104126
17,почему украинцы иногда называют русских ордынцами,0.0,0.13661839067935944,0.754925012588501
18,и у тебя месячные,0.7248802781105042,0.0695517510175705,0.0
19,нарисуем что то,0.9994215965270996,0.0,0.0
20,villmont тебя курицы заклевали,0.9481645226478577,0.0,0.05034062638878822
21,а что вы делаете во время оргазма,0.41490885615348816,0.0,0.3276783227920532
22,что делать если мол человек соврал про свой возраст,0.9896818399429321,0.0,0.11921291798353195
